t,object,x,y,z,pitch,yaw,roll
0.09,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.14,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.14,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.14,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.20,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.25,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.25,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.25,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.30,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.30,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.30,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.36,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.36,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.36,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.42,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.47,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.47,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.47,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.53,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.53,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.53,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.58,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.58,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.58,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.64,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.69,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.69,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.69,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.75,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.75,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.75,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.81,LeftHandAnchor,-0.037,-0.563,0.169,9.8,45.2,52.7
0.81,RightHandAnchor,0.095,-0.224,0.358,274.5,114.1,227.6
0.81,Head,0.013,-0.073,0.013,3.2,7.0,359.8
0.86,LeftHandAnchor,-0.037,-0.564,0.169,9.7,45.1,52.8
0.86,RightHandAnchor,0.090,-0.220,0.356,284.3,63.9,278.6
0.86,Head,0.013,-0.073,0.013,3.2,7.0,359.8
0.92,LeftHandAnchor,-0.037,-0.564,0.169,9.7,45.1,52.8
0.92,RightHandAnchor,0.088,-0.217,0.354,294.5,57.8,285.8
0.92,Head,0.012,-0.073,0.013,3.1,7.0,359.9
0.98,LeftHandAnchor,-0.037,-0.564,0.169,9.6,45.1,52.9
0.98,RightHandAnchor,0.084,-0.214,0.354,299.6,57.9,289.0
0.98,Head,0.012,-0.073,0.013,3.0,6.7,359.6
1.04,LeftHandAnchor,-0.037,-0.564,0.169,9.6,45.1,53.0
1.04,RightHandAnchor,0.078,-0.218,0.358,285.4,17.5,338.7
1.04,Head,0.011,-0.073,0.013,3.1,6.7,359.7
1.09,LeftHandAnchor,-0.037,-0.564,0.169,4.6,46.7,54.7
1.09,RightHandAnchor,0.096,-0.227,0.363,293.2,271.9,79.7
1.09,Head,0.011,-0.072,0.013,2.9,6.8,0.2
1.15,LeftHandAnchor,-0.037,-0.564,0.169,0.9,47.9,57.1
1.15,RightHandAnchor,0.106,-0.225,0.370,312.0,251.4,100.5
1.15,Head,0.011,-0.072,0.013,2.9,6.8,0.3
1.20,LeftHandAnchor,-0.037,-0.564,0.169,1.1,47.9,57.3
1.20,RightHandAnchor,0.114,-0.221,0.374,313.1,248.5,104.9
1.20,Head,0.011,-0.072,0.013,2.9,6.7,0.3
1.26,LeftHandAnchor,-0.037,-0.564,0.169,1.1,47.9,57.5
1.26,RightHandAnchor,0.114,-0.221,0.373,282.4,222.4,129.9
1.26,Head,0.012,-0.072,0.013,2.9,6.7,0.3
1.32,LeftHandAnchor,-0.037,-0.564,0.169,1.2,47.9,57.9
1.32,RightHandAnchor,0.106,-0.218,0.359,283.4,91.6,256.1
1.32,Head,0.012,-0.072,0.013,2.8,6.6,0.1
1.37,LeftHandAnchor,-0.037,-0.564,0.169,1.0,47.9,58.4
1.37,RightHandAnchor,0.095,-0.208,0.348,309.1,87.0,250.6
1.37,Head,0.012,-0.073,0.012,3.0,6.6,359.7
1.43,LeftHandAnchor,-0.037,-0.563,0.168,0.9,47.9,58.4
1.43,RightHandAnchor,0.081,-0.204,0.339,316.9,82.3,257.5
1.43,Head,0.012,-0.073,0.012,3.2,6.6,359.2
1.48,LeftHandAnchor,-0.037,-0.563,0.168,0.9,47.9,58.6
1.48,RightHandAnchor,0.067,-0.222,0.334,285.1,94.8,248.1
