t,object,x,y,z,pitch,yaw,roll
0.07,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.07,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.07,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.13,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.13,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.13,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.19,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.19,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.19,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.24,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.24,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.24,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.30,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.30,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.30,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.35,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.35,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.35,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.41,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.41,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.41,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.46,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.46,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.46,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.52,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.52,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.52,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.58,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.58,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.58,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.63,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.63,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.63,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.69,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.69,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.69,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.74,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.74,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.74,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.80,LeftHandAnchor,-0.070,-0.505,0.163,8.8,34.7,25.0
0.80,RightHandAnchor,0.098,-0.159,0.355,289.2,13.3,334.0
0.80,Head,0.000,-0.002,-0.001,360.0,0.6,1.4
0.86,LeftHandAnchor,-0.070,-0.505,0.163,8.8,34.8,25.1
0.86,RightHandAnchor,0.097,-0.160,0.355,289.5,17.3,328.5
0.86,Head,0.000,-0.002,-0.001,0.0,0.6,1.5
0.92,LeftHandAnchor,-0.071,-0.505,0.163,8.7,34.8,25.2
0.92,RightHandAnchor,0.096,-0.161,0.356,290.2,21.2,323.3
0.92,Head,0.000,-0.002,-0.001,359.9,0.6,1.5
0.97,LeftHandAnchor,-0.071,-0.505,0.163,8.7,34.8,25.3
0.97,RightHandAnchor,0.094,-0.162,0.357,290.6,24.0,319.4
0.97,Head,0.000,-0.001,-0.001,359.7,0.6,1.6
1.03,LeftHandAnchor,-0.071,-0.505,0.163,8.7,34.8,25.4
1.03,RightHandAnchor,0.093,-0.162,0.356,292.1,31.5,307.2
1.03,Head,-0.001,-0.001,0.000,359.8,0.6,1.6
1.09,LeftHandAnchor,-0.071,-0.505,0.163,8.5,34.8,25.4
1.09,RightHandAnchor,0.087,-0.159,0.352,295.6,37.2,299.0
1.09,Head,-0.001,-0.001,0.000,359.8,0.7,1.5
1.14,LeftHandAnchor,-0.070,-0.505,0.163,8.6,34.7,25.5
1.14,RightHandAnchor,0.082,-0.157,0.348,298.1,41.1,292.9
1.14,Head,-0.001,-0.002,0.000,359.9,0.7,1.4
1.20,LeftHandAnchor,-0.071,-0.504,0.163,8.5,34.7,25.5
1.20,RightHandAnchor,0.080,-0.154,0.350,291.2,28.1,311.2
1.20,Head,-0.001,-0.002,0.000,359.9,0.8,1.2
1.25,LeftHandAnchor,-0.071,-0.504,0.163,9.0,34.4,26.0
1.25,RightHandAnchor,0.080,-0.153,0.351,286.4,335.3,9.4
1.25,Head,-0.001,-0.001,0.001,359.9,0.8,1.3
1.31,LeftHandAnchor,-0.071,-0.504,0.163,9.1,34.3,26.5
1.31,RightHandAnchor,0.096,-0.154,0.370,300.0,275.0,66.1
1.31,Head,-0.001,-0.001,0.001,359.9,0.8,1.6
1.36,LeftHandAnchor,-0.071,-0.504,0.163,9.1,34.2,26.4
1.36,RightHandAnchor,0.103,-0.150,0.376,319.1,259.4,83.2
1.36,Head,-0.001,-0.002,0.001,0.1,0.9,1.6
1.42,LeftHandAnchor,-0.071,-0.504,0.163,0.3,37.0,28.6
1.42,RightHandAnchor,0.116,-0.149,0.381,334.6,264.2,91.5
1.42,Head,0.000,-0.002,0.001,0.1,1.1,1.5
1.48,LeftHandAnchor,-0.070,-0.503,0.163,1.2,37.2,28.1
1.48,RightHandAnchor,0.119,-0.152,0.382,337.4,272.6,95.2
1.48,Head,0.001,-0.002,0.002,0.2,1.2,1.4
1.53,LeftHandAnchor,-0.070,-0.503,0.163,1.8,37.0,28.3
