t,object,x,y,z,pitch,yaw,roll
0.09,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.14,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.14,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.14,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.20,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.25,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.25,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.25,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.31,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.31,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.31,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.36,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.36,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.36,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.42,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.47,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.47,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.47,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.53,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.53,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.53,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.58,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.58,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.58,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.64,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.69,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.69,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.69,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.75,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.75,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.75,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.81,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.81,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.81,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.88,LeftHandAnchor,-0.077,-0.551,0.104,13.7,45.6,38.8
0.88,RightHandAnchor,0.050,0.127,0.154,345.0,0.1,0.4
0.88,Head,-0.015,-0.058,-0.072,354.5,6.0,359.7
0.94,LeftHandAnchor,-0.077,-0.552,0.104,13.6,45.6,38.8
0.94,RightHandAnchor,0.050,0.121,0.157,345.0,359.6,359.1
0.94,Head,-0.015,-0.057,-0.072,354.4,5.8,359.6
0.99,LeftHandAnchor,-0.077,-0.551,0.104,13.6,45.6,38.8
0.99,RightHandAnchor,0.050,0.115,0.159,345.5,358.8,358.9
0.99,Head,-0.015,-0.057,-0.072,354.2,5.5,359.8
1.05,LeftHandAnchor,-0.077,-0.551,0.104,13.6,45.6,38.8
1.05,RightHandAnchor,0.056,0.113,0.166,351.9,352.0,3.9
1.05,Head,-0.016,-0.057,-0.071,354.4,5.3,359.8
1.11,LeftHandAnchor,-0.077,-0.551,0.105,10.3,47.1,39.9
1.11,RightHandAnchor,0.060,0.111,0.173,357.6,350.8,6.1
1.11,Head,-0.016,-0.057,-0.071,354.7,5.2,359.9
1.16,LeftHandAnchor,-0.077,-0.551,0.105,4.9,49.3,41.0
1.16,RightHandAnchor,0.059,0.110,0.184,4.6,351.5,7.6
1.16,Head,-0.015,-0.058,-0.071,355.0,5.4,0.1
1.22,LeftHandAnchor,-0.078,-0.551,0.105,7.1,48.5,39.7
1.22,RightHandAnchor,0.062,0.099,0.207,6.8,353.6,6.9
1.22,Head,-0.015,-0.059,-0.071,355.4,5.7,0.0
1.27,LeftHandAnchor,-0.078,-0.551,0.105,7.5,48.4,39.3
1.27,RightHandAnchor,0.067,0.087,0.233,12.9,354.6,3.5
1.27,Head,-0.014,-0.059,-0.071,355.6,6.0,359.9
1.33,LeftHandAnchor,-0.078,-0.552,0.105,7.6,48.4,39.2
1.33,RightHandAnchor,0.075,0.071,0.262,17.4,354.3,357.3
1.33,Head,-0.015,-0.059,-0.071,355.6,6.1,359.9
1.38,LeftHandAnchor,-0.078,-0.552,0.105,7.7,48.4,39.2
1.38,RightHandAnchor,0.076,0.039,0.274,23.0,352.6,3.1
1.38,Head,-0.015,-0.058,-0.070,355.5,6.0,0.0
1.44,LeftHandAnchor,-0.078,-0.552,0.105,7.8,48.4,39.1
1.44,RightHandAnchor,0.078,0.011,0.284,24.0,349.7,2.1
1.44,Head,-0.016,-0.058,-0.069,355.5,5.8,0.3
1.50,LeftHandAnchor,-0.078,-0.552,0.105,7.8,48.4,39.0
