t,object,x,y,z,pitch,yaw,roll
0.10,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.10,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.10,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.16,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.16,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.16,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.21,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.21,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.21,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.27,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.27,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.27,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.32,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.32,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.32,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.38,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.38,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.38,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.44,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.44,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.44,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.49,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.49,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.49,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.55,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.55,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.55,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.60,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.60,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.60,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.66,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.66,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.66,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.71,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.71,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.71,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.77,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.77,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.77,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.83,LeftHandAnchor,-0.047,-0.508,0.183,26.4,23.4,24.2
0.83,RightHandAnchor,0.057,-0.147,0.397,290.8,353.4,355.3
0.83,Head,0.010,-0.006,0.032,6.4,3.2,359.9
0.88,LeftHandAnchor,-0.049,-0.510,0.185,28.8,24.6,25.7
0.88,RightHandAnchor,0.053,-0.147,0.396,293.8,357.9,353.9
0.88,Head,0.010,-0.006,0.033,6.6,3.3,359.8
0.94,LeftHandAnchor,-0.050,-0.512,0.186,31.0,25.3,26.8
0.94,RightHandAnchor,0.052,-0.149,0.396,294.6,358.3,354.5
0.94,Head,0.009,-0.007,0.033,6.9,3.3,359.7
1.00,LeftHandAnchor,-0.050,-0.513,0.186,40.1,25.6,26.7
1.00,RightHandAnchor,0.051,-0.152,0.398,294.6,357.6,355.6
1.00,Head,0.009,-0.008,0.033,7.1,3.3,359.8
1.05,LeftHandAnchor,-0.050,-0.513,0.186,53.7,24.7,27.7
1.05,RightHandAnchor,0.051,-0.155,0.403,294.7,356.7,356.6
1.05,Head,0.009,-0.007,0.033,7.0,3.4,359.9
1.11,LeftHandAnchor,-0.050,-0.513,0.186,62.5,28.5,32.5
1.11,RightHandAnchor,0.052,-0.156,0.406,295.8,354.9,358.5
1.11,Head,0.010,-0.007,0.033,6.9,3.4,359.9
1.17,LeftHandAnchor,-0.050,-0.513,0.186,63.5,35.1,43.5
1.17,RightHandAnchor,0.053,-0.155,0.406,295.6,353.0,0.8
1.17,Head,0.010,-0.007,0.033,7.0,3.4,359.8
1.22,LeftHandAnchor,-0.050,-0.514,0.185,67.0,44.2,57.3
1.22,RightHandAnchor,0.053,-0.153,0.406,295.6,351.9,1.8
1.22,Head,0.010,-0.008,0.033,7.1,3.5,359.8
1.28,LeftHandAnchor,-0.807,-0.228,0.597,310.7,331.6,339.4
1.28,RightHandAnchor,0.053,-0.153,0.406,295.4,350.4,2.8
1.28,Head,0.010,-0.008,0.033,7.2,3.6,359.7
1.33,LeftHandAnchor,-0.807,-0.228,0.597,310.7,331.6,339.4
1.33,RightHandAnchor,0.054,-0.152,0.406,276.8,271.1,74.5
1.33,Head,0.010,-0.008,0.033,7.1,3.5,359.8
1.39,LeftHandAnchor,-0.065,-0.575,0.189,2.8,31.2,37.8
1.39,RightHandAnchor,0.060,-0.155,0.415,282.1,239.8,102.5
1.39,Head,0.009,-0.008,0.033,7.0,3.5,359.9
1.44,LeftHandAnchor,-0.059,-0.461,0.161,3.5,30.0,26.4
1.44,RightHandAnchor,0.061,-0.158,0.418,282.8,224.6,116.8
1.44,Head,0.009,-0.008,0.033,7.0,3.4,359.9
1.50,LeftHandAnchor,-0.064,-0.410,0.155,355.1,38.2,16.8
1.50,RightHandAnchor,0.060,-0.156,0.414,281.4,216.5,124.8
1.50,Head,0.008,-0.008,0.033,7.0,3.2,359.9
1.56,LeftHandAnchor,-0.056,-0.534,0.197,356.2,31.2,27.7
1.56,RightHandAnchor,0.059,-0.153,0.409,281.8,210.6,131.8
1.56,Head,0.008,-0.008,0.033,7.2,3.3,360.0
1.61,LeftHandAnchor,-0.053,-0.525,0.188,356.8,29.5,29.5
1.61,RightHandAnchor,0.059,-0.151,0.409,282.3,208.8,134.9
1.61,Head,0.008,-0.008,0.033,7.2,3.4,0.1
1.67,LeftHandAnchor,-0.054,-0.514,0.185,357.7,29.9,31.0
1.67,RightHandAnchor,0.059,-0.149,0.408,281.0,209.1,135.1
1.67,Head,0.008,-0.008,0.032,7.3,3.3,0.1
1.72,LeftHandAnchor,-0.054,-0.509,0.185,359.2,30.5,32.1
1.72,RightHandAnchor,0.059,-0.149,0.407,278.2,212.0,132.9
1.72,Head,0.008,-0.008,0.032,7.2,3.1,0.0
1.78,LeftHandAnchor,-0.054,-0.509,0.185,359.4,30.6,33.0
1.78,RightHandAnchor,0.059,-0.148,0.407,272.5,250.3,98.0
1.78,Head,0.008,-0.008,0.032,7.1,3.1,360.0
1.83,LeftHandAnchor,-0.055,-0.508,0.185,359.5,30.8,33.2
1.83,RightHandAnchor,0.059,-0.149,0.407,271.0,275.8,73.6
1.83,Head,0.008,-0.008,0.032,7.0,3.0,359.9
1.89,LeftHandAnchor,-0.055,-0.508,0.185,359.6,30.9,33.2
1.89,RightHandAnchor,0.059,-0.148,0.406,272.5,56.4,290.7
1.89,Head,0.008,-0.008,0.033,7.0,3.0,359.9
1.94,LeftHandAnchor,-0.055,-0.508,0.185,359.7,30.9,33.3
1.94,RightHandAnchor,0.059,-0.148,0.404,276.8,42.0,301.8
1.94,Head,0.008,-0.008,0.033,7.1,3.0,359.8
2.00,LeftHandAnchor,-0.055,-0.508,0.185,359.9,31.1,33.2
2.00,RightHandAnchor,0.058,-0.148,0.402,273.7,22.3,323.8
2.00,Head,0.008,-0.008,0.033,7.3,3.1,359.7
2.06,LeftHandAnchor,-0.055,-0.508,0.185,0.3,31.2,33.4
2.06,RightHandAnchor,0.056,-0.147,0.401,273.7,262.0,85.8
2.06,Head,0.008,-0.008,0.033,7.3,3.2,359.8
2.11,LeftHandAnchor,-0.055,-0.508,0.186,0.7,31.2,33.4
2.11,RightHandAnchor,0.056,-0.147,0.401,279.0,214.5,133.3
2.11,Head,0.008,-0.008,0.034,7.2,3.1,359.9
2.17,LeftHandAnchor,-0.055,-0.508,0.185,0.7,31.2,33.5
2.17,RightHandAnchor,0.058,-0.143,0.399,276.1,82.0,261.6
2.17,Head,0.008,-0.008,0.034,7.3,3.0,359.8
2.22,LeftHandAnchor,-0.055,-0.509,0.185,0.5,31.3,33.7
2.22,RightHandAnchor,0.061,-0.134,0.396,290.2,63.1,275.5
2.22,Head,0.009,-0.008,0.035,7.3,3.3,359.8
2.28,LeftHandAnchor,-0.055,-0.509,0.185,0.5,31.3,33.9
2.28,RightHandAnchor,0.062,-0.125,0.395,303.9,79.4,263.2
2.28,Head,0.009,-0.008,0.035,7.3,3.4,359.8
2.33,LeftHandAnchor,-0.055,-0.509,0.185,0.4,31.4,34.0
2.33,RightHandAnchor,0.061,-0.118,0.398,319.4,85.3,251.7
2.33,Head,0.009,-0.008,0.035,7.4,3.1,359.6
2.39,LeftHandAnchor,-0.055,-0.509,0.185,0.4,31.4,34.1
2.39,RightHandAnchor,0.072,-0.117,0.402,325.9,86.8,245.0
2.39,Head,0.008,-0.008,0.035,7.5,2.9,359.5
2.45,LeftHandAnchor,-0.055,-0.508,0.185,0.8,31.6,34.4
2.45,RightHandAnchor,0.075,-0.117,0.400,320.4,90.9,247.0
2.45,Head,0.008,-0.008,0.035,7.5,3.1,359.5
2.50,LeftHandAnchor,-0.055,-0.508,0.185,1.2,31.7,34.7
2.50,RightHandAnchor,0.062,-0.117,0.396,300.6,93.1,253.2
2.50,Head,0.008,-0.008,0.035,7.4,3.3,359.6
2.56,LeftHandAnchor,-0.055,-0.508,0.185,1.2,31.7,34.6
2.56,RightHandAnchor,0.060,-0.127,0.389,277.5,116.7,227.1
2.56,Head,0.008,-0.008,0.035,7.3,3.3,359.7
2.61,LeftHandAnchor,-0.055,-0.508,0.185,1.2,31.7,34.7
2.61,RightHandAnchor,0.068,-0.155,0.409,297.6,234.7,111.7
2.61,Head,0.009,-0.008,0.035,7.3,3.5,359.8
2.67,LeftHandAnchor,-0.055,-0.507,0.185,1.3,31.7,34.4
2.67,RightHandAnchor,0.062,-0.162,0.403,315.3,246.0,101.7
2.67,Head,0.009,-0.008,0.035,7.2,3.5,359.8
2.72,LeftHandAnchor,-0.055,-0.507,0.185,1.3,31.5,34.1
2.72,RightHandAnchor,0.061,-0.167,0.401,320.0,256.6,96.4
2.72,Head,0.010,-0.008,0.035,7.1,3.3,359.5
2.78,LeftHandAnchor,-0.054,-0.507,0.185,1.2,31.4,33.8
2.78,RightHandAnchor,0.065,-0.168,0.405,312.5,257.9,95.7
2.78,Head,0.010,-0.007,0.036,7.1,3.2,359.4
2.83,LeftHandAnchor,-0.055,-0.507,0.184,1.1,31.4,33.8
2.83,RightHandAnchor,0.071,-0.165,0.407,295.9,239.1,103.5
2.83,Head,0.011,-0.007,0.037,7.3,3.1,359.5
2.89,LeftHandAnchor,-0.054,-0.506,0.184,1.2,31.2,33.9
2.89,RightHandAnchor,0.074,-0.160,0.405,279.7,198.1,146.2
2.89,Head,0.010,-0.008,0.038,7.5,3.1,359.7
2.94,LeftHandAnchor,-0.054,-0.506,0.184,1.7,30.9,33.9
2.94,RightHandAnchor,0.074,-0.148,0.393,290.7,92.2,245.6
2.94,Head,0.010,-0.008,0.038,7.7,2.8,359.7
3.00,LeftHandAnchor,-0.054,-0.506,0.184,2.2,30.8,33.5
3.00,RightHandAnchor,0.072,-0.132,0.389,317.9,88.2,239.9
3.00,Head,0.009,-0.008,0.039,7.7,2.6,359.7
3.06,LeftHandAnchor,-0.054,-0.506,0.184,2.4,30.6,33.4
3.06,RightHandAnchor,0.078,-0.128,0.383,333.7,80.7,242.5
3.06,Head,0.009,-0.008,0.038,7.6,2.7,359.7
3.11,LeftHandAnchor,-0.054,-0.506,0.184,2.2,30.5,33.5
3.11,RightHandAnchor,0.082,-0.129,0.389,340.2,84.9,240.8
3.11,Head,0.009,-0.008,0.038,7.5,3.0,359.9
3.17,LeftHandAnchor,-0.054,-0.506,0.183,1.8,30.4,33.9
3.17,RightHandAnchor,0.075,-0.128,0.393,327.0,85.5,246.8
3.17,Head,0.009,-0.008,0.038,7.6,3.1,359.8
3.22,LeftHandAnchor,-0.054,-0.505,0.183,1.9,30.4,33.9
3.22,RightHandAnchor,0.052,-0.129,0.386,308.7,92.6,246.5
3.22,Head,0.009,-0.008,0.038,7.4,3.0,359.8
3.28,LeftHandAnchor,-0.054,-0.505,0.183,2.0,30.3,33.9
3.28,RightHandAnchor,0.048,-0.134,0.387,284.0,81.5,264.3
3.28,Head,0.009,-0.008,0.036,7.6,3.3,359.7
3.33,LeftHandAnchor,-0.054,-0.505,0.184,3.5,30.4,33.0
3.33,RightHandAnchor,0.036,-0.152,0.394,286.6,252.1,97.2
3.33,Head,0.010,-0.008,0.035,7.2,3.6,359.9
3.39,LeftHandAnchor,-0.054,-0.504,0.184,3.8,30.3,32.5
3.39,RightHandAnchor,0.026,-0.163,0.398,302.4,256.6,100.5
3.39,Head,0.010,-0.007,0.034,6.8,3.7,359.7
3.45,LeftHandAnchor,-0.053,-0.504,0.184,3.9,30.0,31.7
3.45,RightHandAnchor,0.029,-0.162,0.401,309.0,252.3,111.3
3.45,Head,0.009,-0.006,0.034,6.3,3.5,359.7
3.50,LeftHandAnchor,-0.053,-0.504,0.183,3.9,29.9,31.6
3.50,RightHandAnchor,0.039,-0.154,0.399,301.0,253.0,108.2
3.50,Head,0.009,-0.006,0.034,6.0,3.1,359.7
3.56,LeftHandAnchor,-0.053,-0.503,0.184,3.9,29.8,31.6
3.56,RightHandAnchor,0.052,-0.146,0.401,288.5,252.4,99.7
3.56,Head,0.008,-0.005,0.033,5.8,3.0,359.7
3.61,LeftHandAnchor,-0.053,-0.503,0.184,3.8,29.8,31.6
3.61,RightHandAnchor,0.056,-0.131,0.399,271.2,257.7,89.2
3.61,Head,0.008,-0.005,0.033,5.7,3.1,359.9
3.67,LeftHandAnchor,-0.053,-0.503,0.184,3.8,29.7,31.4
3.67,RightHandAnchor,0.057,-0.117,0.386,290.6,71.9,267.8
3.67,Head,0.007,-0.005,0.033,5.7,3.0,0.0
3.72,LeftHandAnchor,-0.053,-0.503,0.184,3.7,29.5,31.0
3.72,RightHandAnchor,0.060,-0.111,0.388,305.9,77.5,260.4
3.72,Head,0.007,-0.005,0.032,5.8,2.8,360.0
3.78,LeftHandAnchor,-0.053,-0.504,0.185,3.6,29.3,31.2
3.78,RightHandAnchor,0.060,-0.107,0.394,314.3,83.3,260.1
