t,object,x,y,z,pitch,yaw,roll
0.10,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.10,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.10,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.15,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.21,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.21,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.21,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.26,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.26,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.26,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.32,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.32,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.32,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.37,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.43,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.43,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.43,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.48,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.54,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.54,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.54,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.60,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.60,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.60,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.65,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.65,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.65,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.71,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.71,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.71,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.76,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.76,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.76,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.82,LeftHandAnchor,0.029,-0.210,0.219,293.9,23.4,83.3
0.82,RightHandAnchor,0.079,-0.233,0.223,291.7,316.4,332.0
0.82,Head,0.007,-0.049,-0.026,0.4,8.4,1.1
0.88,LeftHandAnchor,0.000,-0.199,0.231,292.6,347.0,109.7
0.88,RightHandAnchor,0.105,-0.218,0.212,280.9,44.1,256.8
0.88,Head,0.007,-0.050,-0.026,0.9,8.5,0.9
0.94,LeftHandAnchor,-0.013,-0.197,0.245,299.6,333.2,123.8
0.94,RightHandAnchor,0.110,-0.212,0.208,292.2,73.2,227.6
0.94,Head,0.007,-0.051,-0.026,1.3,8.6,0.8
0.99,LeftHandAnchor,-0.002,-0.201,0.238,296.9,345.6,113.0
0.99,RightHandAnchor,0.095,-0.216,0.212,285.9,57.9,240.4
0.99,Head,0.008,-0.051,-0.026,1.5,8.9,0.6
1.05,LeftHandAnchor,0.022,-0.209,0.226,292.4,24.9,76.7
1.05,RightHandAnchor,0.077,-0.223,0.217,286.5,322.9,325.8
1.05,Head,0.008,-0.051,-0.027,1.3,9.0,0.7
1.10,LeftHandAnchor,0.028,-0.210,0.225,282.0,23.4,87.8
1.10,RightHandAnchor,0.076,-0.221,0.219,285.7,305.9,342.1
1.10,Head,0.008,-0.049,-0.027,0.5,9.0,0.7
1.16,LeftHandAnchor,0.008,-0.200,0.229,284.9,358.9,102.1
1.16,RightHandAnchor,0.094,-0.209,0.216,278.8,39.9,251.6
1.16,Head,0.008,-0.050,-0.027,0.8,8.9,0.6
1.22,LeftHandAnchor,0.002,-0.197,0.237,293.8,338.9,127.5
1.22,RightHandAnchor,0.093,-0.208,0.211,286.4,78.6,215.9
1.22,Head,0.009,-0.050,-0.028,1.3,8.9,0.4
1.27,LeftHandAnchor,0.018,-0.200,0.231,292.9,352.7,115.8
1.27,RightHandAnchor,0.080,-0.220,0.214,276.6,8.7,284.9
1.27,Head,0.009,-0.051,-0.028,1.8,9.0,0.2
1.33,LeftHandAnchor,0.025,-0.208,0.225,290.0,23.4,86.5
1.33,RightHandAnchor,0.078,-0.228,0.225,282.6,300.3,346.8
1.33,Head,0.009,-0.051,-0.028,1.8,9.1,0.4
1.38,LeftHandAnchor,0.013,-0.204,0.224,289.0,6.9,100.2
1.38,RightHandAnchor,0.093,-0.218,0.220,272.4,55.3,236.0
1.38,Head,0.009,-0.051,-0.028,1.9,9.2,0.3
1.44,LeftHandAnchor,0.003,-0.205,0.230,293.6,342.6,125.1
1.44,RightHandAnchor,0.101,-0.214,0.213,280.4,94.6,199.2
1.44,Head,0.010,-0.052,-0.028,2.2,9.2,0.3
1.49,LeftHandAnchor,0.015,-0.205,0.223,288.5,358.4,104.4
1.49,RightHandAnchor,0.080,-0.222,0.215,281.9,335.8,313.0
1.49,Head,0.010,-0.053,-0.029,2.6,9.4,0.1
1.55,LeftHandAnchor,0.024,-0.207,0.222,287.1,10.1,91.8
1.55,RightHandAnchor,0.071,-0.224,0.217,288.2,306.9,336.9
1.55,Head,0.010,-0.052,-0.029,2.3,9.5,0.3
1.61,LeftHandAnchor,0.019,-0.206,0.225,285.8,359.8,98.6
1.61,RightHandAnchor,0.087,-0.225,0.215,279.2,33.8,258.8
1.61,Head,0.010,-0.052,-0.029,2.2,9.6,0.2
1.66,LeftHandAnchor,0.007,-0.202,0.226,289.5,344.6,123.8
1.66,RightHandAnchor,0.091,-0.222,0.212,281.2,83.2,211.8
1.66,Head,0.010,-0.052,-0.029,2.5,9.6,0.1
1.72,LeftHandAnchor,0.019,-0.206,0.224,288.7,1.4,104.6
1.72,RightHandAnchor,0.075,-0.226,0.211,279.9,322.2,325.3
1.72,Head,0.010,-0.053,-0.030,2.8,9.7,0.0
1.77,LeftHandAnchor,0.028,-0.208,0.223,288.0,13.6,92.4
1.77,RightHandAnchor,0.072,-0.228,0.213,284.7,308.5,333.9
1.77,Head,0.011,-0.052,-0.029,2.3,9.7,0.2
1.83,LeftHandAnchor,0.006,-0.205,0.229,287.2,357.6,107.4
1.83,RightHandAnchor,0.090,-0.218,0.210,282.3,42.8,240.9
1.83,Head,0.011,-0.052,-0.029,2.2,9.7,0.1
1.88,LeftHandAnchor,-0.005,-0.204,0.231,291.8,345.1,123.5
1.88,RightHandAnchor,0.096,-0.214,0.207,287.3,58.6,230.0
1.88,Head,0.011,-0.052,-0.029,2.4,9.6,359.9
1.94,LeftHandAnchor,0.007,-0.208,0.228,290.6,356.9,112.6
1.94,RightHandAnchor,0.088,-0.218,0.209,284.1,47.7,241.9
1.94,Head,0.011,-0.053,-0.030,2.7,9.5,359.8
1.99,LeftHandAnchor,0.024,-0.217,0.217,287.8,41.1,62.5
1.99,RightHandAnchor,0.076,-0.224,0.220,285.7,323.2,320.8
1.99,Head,0.011,-0.053,-0.030,2.7,9.5,0.0
2.05,LeftHandAnchor,0.015,-0.210,0.223,286.0,17.3,87.3
2.05,RightHandAnchor,0.090,-0.217,0.219,280.3,13.5,271.3
2.05,Head,0.011,-0.052,-0.029,2.4,9.5,0.0
2.10,LeftHandAnchor,-0.005,-0.203,0.233,292.9,340.3,126.1
2.10,RightHandAnchor,0.102,-0.208,0.210,289.1,71.6,217.7
2.10,Head,0.011,-0.052,-0.029,2.5,9.5,359.9
2.16,LeftHandAnchor,0.003,-0.202,0.234,296.3,336.1,131.9
2.16,RightHandAnchor,0.086,-0.214,0.209,286.0,68.2,221.0
2.16,Head,0.011,-0.053,-0.029,2.9,9.6,359.9
2.22,LeftHandAnchor,0.025,-0.212,0.224,292.2,23.9,83.8
2.22,RightHandAnchor,0.074,-0.223,0.213,283.5,316.7,330.6
2.22,Head,0.010,-0.053,-0.030,3.1,9.5,0.1
2.27,LeftHandAnchor,0.031,-0.216,0.224,291.5,29.5,77.4
2.27,RightHandAnchor,0.081,-0.227,0.220,284.6,307.8,337.6
2.27,Head,0.010,-0.052,-0.029,2.6,9.4,0.1
2.33,LeftHandAnchor,0.004,-0.204,0.228,292.4,356.6,114.6
2.33,RightHandAnchor,0.100,-0.212,0.214,282.4,70.9,222.1
2.33,Head,0.010,-0.052,-0.028,2.6,9.2,0.0
2.38,LeftHandAnchor,0.000,-0.202,0.233,296.6,349.9,122.5
2.38,RightHandAnchor,0.100,-0.211,0.212,285.8,78.0,216.6
2.38,Head,0.010,-0.053,-0.029,3.0,9.2,359.9
2.44,LeftHandAnchor,0.016,-0.209,0.226,295.7,25.5,87.6
2.44,RightHandAnchor,0.077,-0.216,0.214,278.3,340.5,307.0
2.44,Head,0.010,-0.053,-0.029,3.3,9.2,0.1
2.49,LeftHandAnchor,0.024,-0.215,0.222,295.3,31.3,78.3
2.49,RightHandAnchor,0.082,-0.225,0.224,281.9,306.4,340.6
2.49,Head,0.010,-0.053,-0.028,2.8,9.3,0.2
2.55,LeftHandAnchor,0.013,-0.202,0.223,291.1,355.6,110.7
2.55,RightHandAnchor,0.093,-0.214,0.221,279.9,56.6,231.8
2.55,Head,0.010,-0.053,-0.028,2.9,9.4,0.2
2.61,LeftHandAnchor,0.008,-0.201,0.229,295.8,353.7,119.4
2.61,RightHandAnchor,0.095,-0.209,0.217,286.9,70.1,217.6
2.61,Head,0.010,-0.053,-0.028,3.2,9.3,0.1
2.66,LeftHandAnchor,0.020,-0.203,0.224,287.7,20.8,83.7
2.66,RightHandAnchor,0.082,-0.213,0.220,279.4,354.5,294.0
2.66,Head,0.010,-0.054,-0.028,3.6,9.2,0.0
2.72,LeftHandAnchor,0.024,-0.206,0.224,285.8,28.6,72.8
2.72,RightHandAnchor,0.080,-0.214,0.224,282.0,310.3,335.5
2.72,Head,0.011,-0.053,-0.028,3.1,9.4,0.1
2.77,LeftHandAnchor,0.012,-0.198,0.234,286.1,349.4,118.2
2.77,RightHandAnchor,0.096,-0.208,0.225,277.3,52.7,235.0
2.77,Head,0.010,-0.053,-0.028,3.0,9.4,0.2
2.83,LeftHandAnchor,0.001,-0.193,0.243,290.9,345.3,124.2
2.83,RightHandAnchor,0.100,-0.204,0.220,286.2,73.4,216.1
2.83,Head,0.010,-0.053,-0.027,3.3,9.3,0.1
2.88,LeftHandAnchor,0.013,-0.194,0.236,286.3,6.8,105.0
2.88,RightHandAnchor,0.083,-0.209,0.222,278.3,35.5,254.0
2.88,Head,0.010,-0.054,-0.028,3.7,9.3,0.1
2.94,LeftHandAnchor,0.031,-0.201,0.228,286.0,50.2,57.8
2.94,RightHandAnchor,0.068,-0.208,0.225,284.7,291.5,355.4
2.94,Head,0.010,-0.054,-0.028,3.6,9.3,0.4
2.99,LeftHandAnchor,0.021,-0.196,0.236,281.4,25.8,75.0
2.99,RightHandAnchor,0.096,-0.213,0.235,275.8,0.5,290.7
2.99,Head,0.010,-0.053,-0.027,3.3,9.2,0.3
3.05,LeftHandAnchor,0.004,-0.191,0.242,288.0,347.3,121.3
3.05,RightHandAnchor,0.103,-0.203,0.222,284.4,76.8,214.4
3.05,Head,0.010,-0.053,-0.027,3.3,9.2,0.2
3.11,LeftHandAnchor,0.000,-0.189,0.245,292.5,343.4,128.8
3.11,RightHandAnchor,0.099,-0.203,0.219,287.9,78.1,214.4
3.11,Head,0.010,-0.054,-0.027,3.7,9.4,0.1
3.16,LeftHandAnchor,0.019,-0.195,0.231,286.9,15.5,93.1
3.16,RightHandAnchor,0.078,-0.215,0.223,281.8,333.3,314.3
3.16,Head,0.010,-0.055,-0.028,4.0,9.4,0.2
3.22,LeftHandAnchor,0.027,-0.208,0.226,286.4,34.0,72.7
3.22,RightHandAnchor,0.075,-0.216,0.225,284.6,304.2,342.7
3.22,Head,0.010,-0.054,-0.027,3.6,9.2,0.3
3.27,LeftHandAnchor,0.021,-0.202,0.228,283.4,9.4,94.0
3.27,RightHandAnchor,0.091,-0.214,0.224,278.6,22.7,266.7
3.27,Head,0.009,-0.053,-0.027,3.4,9.0,0.3
3.33,LeftHandAnchor,0.009,-0.195,0.235,294.6,344.3,126.0
3.33,RightHandAnchor,0.093,-0.210,0.218,286.0,64.5,222.9
3.33,Head,0.009,-0.054,-0.027,3.6,8.9,0.1
3.38,LeftHandAnchor,0.011,-0.197,0.233,292.7,351.0,118.1
3.38,RightHandAnchor,0.082,-0.217,0.220,278.9,21.4,266.9
3.38,Head,0.009,-0.054,-0.027,3.7,9.0,0.1
3.44,LeftHandAnchor,0.026,-0.208,0.223,287.4,26.9,78.9
3.44,RightHandAnchor,0.071,-0.223,0.224,286.7,296.5,349.9
3.44,Head,0.009,-0.054,-0.028,3.6,9.0,0.5
3.49,LeftHandAnchor,0.015,-0.203,0.228,286.5,14.9,87.5
3.49,RightHandAnchor,0.088,-0.220,0.228,279.6,357.6,289.2
3.49,Head,0.009,-0.053,-0.027,3.3,8.9,0.4
3.55,LeftHandAnchor,0.002,-0.198,0.236,291.5,355.3,114.6
3.55,RightHandAnchor,0.092,-0.211,0.221,284.4,65.7,224.3
3.55,Head,0.009,-0.053,-0.027,3.1,8.8,0.3
3.61,LeftHandAnchor,-0.001,-0.201,0.239,293.2,353.5,117.1
3.61,RightHandAnchor,0.088,-0.213,0.220,285.4,67.1,223.0
3.61,Head,0.009,-0.053,-0.027,3.3,8.9,0.1
3.66,LeftHandAnchor,0.020,-0.209,0.228,294.3,25.4,84.3
3.66,RightHandAnchor,0.073,-0.221,0.223,283.0,307.2,341.4
3.66,Head,0.009,-0.053,-0.028,3.3,9.0,0.4
3.72,LeftHandAnchor,0.016,-0.209,0.224,293.7,29.1,77.0
3.72,RightHandAnchor,0.080,-0.221,0.228,277.8,306.8,340.6
3.72,Head,0.008,-0.053,-0.027,2.8,8.9,0.5
3.77,LeftHandAnchor,0.005,-0.201,0.225,290.3,18.8,86.7
3.77,RightHandAnchor,0.094,-0.212,0.226,278.0,44.3,243.0
