t,object,x,y,z,pitch,yaw,roll
0.09,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.15,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.21,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.21,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.21,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.26,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.26,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.26,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.32,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.32,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.32,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.37,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.43,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.43,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.43,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.48,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.54,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.54,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.54,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.60,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.60,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.60,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.65,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.65,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.65,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.71,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.71,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.71,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.76,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.76,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.76,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.82,LeftHandAnchor,-0.056,-0.182,0.321,278.9,2.7,76.4
0.82,RightHandAnchor,0.040,-0.194,0.307,282.3,12.7,268.5
0.82,Head,0.005,-0.009,0.009,4.6,359.8,1.4
0.88,LeftHandAnchor,-0.058,-0.173,0.323,277.7,4.4,74.7
0.88,RightHandAnchor,0.041,-0.188,0.310,280.0,10.0,270.5
0.88,Head,0.005,-0.010,0.009,4.9,359.8,1.4
0.93,LeftHandAnchor,-0.060,-0.170,0.324,277.2,6.1,72.0
0.93,RightHandAnchor,0.041,-0.182,0.316,277.9,1.3,280.1
0.93,Head,0.005,-0.009,0.008,4.8,359.8,1.4
0.99,LeftHandAnchor,-0.063,-0.164,0.336,276.1,17.9,58.4
0.99,RightHandAnchor,0.039,-0.177,0.324,279.2,350.9,288.0
0.99,Head,0.005,-0.009,0.008,4.5,359.9,1.2
1.05,LeftHandAnchor,-0.064,-0.160,0.338,274.4,64.1,13.2
1.05,RightHandAnchor,0.039,-0.176,0.327,277.6,333.4,303.8
1.05,Head,0.006,-0.008,0.007,4.2,359.9,1.1
1.10,LeftHandAnchor,-0.065,-0.159,0.339,274.7,68.9,8.3
1.10,RightHandAnchor,0.037,-0.174,0.331,278.2,333.8,304.3
1.10,Head,0.006,-0.008,0.007,4.1,0.0,1.0
1.16,LeftHandAnchor,-0.066,-0.158,0.341,274.8,68.1,9.1
1.16,RightHandAnchor,0.036,-0.173,0.333,278.8,337.0,301.8
1.16,Head,0.007,-0.008,0.007,4.2,0.1,0.9
1.22,LeftHandAnchor,-0.066,-0.157,0.340,274.6,60.3,17.3
1.22,RightHandAnchor,0.037,-0.173,0.333,278.8,338.4,300.2
1.22,Head,0.007,-0.009,0.006,4.3,0.1,0.8
1.27,LeftHandAnchor,-0.065,-0.158,0.337,274.5,47.1,31.3
1.27,RightHandAnchor,0.038,-0.173,0.332,279.2,346.3,291.9
1.27,Head,0.008,-0.008,0.006,4.2,0.0,0.7
1.33,LeftHandAnchor,-0.065,-0.161,0.336,275.9,29.6,50.5
1.33,RightHandAnchor,0.040,-0.173,0.331,278.8,355.3,283.1
1.33,Head,0.008,-0.008,0.006,4.0,0.1,0.7
1.38,LeftHandAnchor,-0.062,-0.162,0.334,279.1,7.4,74.8
1.38,RightHandAnchor,0.042,-0.174,0.330,278.1,7.7,271.6
1.38,Head,0.008,-0.008,0.006,3.9,0.1,0.6
1.44,LeftHandAnchor,-0.048,-0.166,0.332,279.0,359.4,85.7
1.44,RightHandAnchor,0.040,-0.176,0.329,277.8,7.5,271.2
1.44,Head,0.008,-0.008,0.005,4.1,0.0,0.7
1.49,LeftHandAnchor,-0.023,-0.167,0.325,282.2,41.7,48.8
1.49,RightHandAnchor,0.029,-0.177,0.328,279.7,303.6,333.7
