t,object,x,y,z,pitch,yaw,roll
0.11,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.11,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.11,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.17,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.17,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.17,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.22,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.22,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.22,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.28,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.28,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.28,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.33,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.33,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.33,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.39,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.39,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.39,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.44,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.44,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.44,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.50,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.50,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.50,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.56,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.56,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.56,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.61,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.61,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.61,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.67,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.67,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.67,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.72,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.72,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.72,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.78,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.78,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.78,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.83,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.83,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.83,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.88,LeftHandAnchor,-0.086,-0.197,0.277,284.2,355.8,78.1
0.88,RightHandAnchor,0.075,-0.200,0.262,283.1,29.1,263.5
0.88,Head,-0.002,-0.009,-0.011,7.9,1.3,0.1
0.93,LeftHandAnchor,-0.084,-0.196,0.276,284.4,356.8,77.7
0.93,RightHandAnchor,0.074,-0.201,0.265,280.1,34.2,254.8
0.93,Head,-0.002,-0.009,-0.011,7.8,1.3,0.0
0.99,LeftHandAnchor,-0.082,-0.196,0.275,276.2,6.9,75.8
0.99,RightHandAnchor,0.071,-0.199,0.266,277.8,44.7,238.5
0.99,Head,-0.002,-0.008,-0.011,7.6,1.4,0.1
1.05,LeftHandAnchor,-0.081,-0.196,0.275,276.8,6.2,74.7
1.05,RightHandAnchor,0.067,-0.199,0.265,279.3,40.6,242.1
1.05,Head,-0.002,-0.008,-0.011,7.5,1.4,0.1
1.10,LeftHandAnchor,-0.079,-0.194,0.275,277.5,4.1,76.2
1.10,RightHandAnchor,0.066,-0.198,0.265,279.4,40.8,242.2
1.10,Head,-0.002,-0.008,-0.012,7.4,1.3,0.1
1.16,LeftHandAnchor,-0.078,-0.194,0.274,277.8,2.5,77.8
1.16,RightHandAnchor,0.065,-0.198,0.264,279.5,40.9,242.1
1.16,Head,-0.002,-0.008,-0.011,7.4,1.3,360.0
1.22,LeftHandAnchor,-0.078,-0.194,0.274,278.9,357.1,83.5
1.22,RightHandAnchor,0.065,-0.198,0.264,280.1,41.7,241.3
1.22,Head,-0.002,-0.008,-0.011,7.4,1.3,360.0
1.27,LeftHandAnchor,-0.078,-0.194,0.273,279.3,353.5,87.3
1.27,RightHandAnchor,0.064,-0.197,0.263,280.9,41.9,240.5
1.27,Head,-0.002,-0.008,-0.011,7.4,1.3,359.9
1.33,LeftHandAnchor,-0.076,-0.193,0.272,279.7,352.0,89.1
1.33,RightHandAnchor,0.062,-0.196,0.262,282.0,39.5,242.8
1.33,Head,-0.002,-0.008,-0.011,7.6,1.3,359.9
1.38,LeftHandAnchor,-0.055,-0.190,0.267,279.8,13.6,71.0
1.38,RightHandAnchor,0.047,-0.198,0.261,280.6,10.6,269.2
1.38,Head,-0.002,-0.009,-0.012,7.9,1.4,359.8
1.44,LeftHandAnchor,-0.036,-0.190,0.260,288.6,58.7,33.2
1.44,RightHandAnchor,0.034,-0.210,0.267,286.6,310.0,329.0
1.44,Head,-0.002,-0.009,-0.012,7.7,1.4,359.7
1.49,LeftHandAnchor,-0.028,-0.195,0.261,287.9,63.2,29.3
1.49,RightHandAnchor,0.031,-0.212,0.273,288.3,297.7,336.0
1.49,Head,-0.002,-0.008,-0.011,7.4,1.6,359.6
1.55,LeftHandAnchor,-0.035,-0.194,0.270,280.7,47.3,44.4
1.55,RightHandAnchor,0.035,-0.208,0.270,282.6,333.3,305.4
1.55,Head,-0.001,-0.008,-0.011,7.4,1.7,359.5
1.61,LeftHandAnchor,-0.043,-0.195,0.274,278.7,318.9,129.8
1.61,RightHandAnchor,0.036,-0.204,0.264,280.9,50.6,228.7
1.61,Head,-0.001,-0.008,-0.010,7.7,1.8,359.2
1.66,LeftHandAnchor,-0.047,-0.196,0.273,280.2,320.7,128.1
1.66,RightHandAnchor,0.041,-0.200,0.261,280.9,42.4,233.6
1.66,Head,-0.001,-0.009,-0.010,8.2,1.9,358.9
1.72,LeftHandAnchor,-0.041,-0.194,0.267,278.7,0.0,90.5
1.72,RightHandAnchor,0.035,-0.199,0.260,280.1,342.5,292.6
1.72,Head,-0.001,-0.010,-0.011,8.2,2.0,358.9
1.77,LeftHandAnchor,-0.028,-0.193,0.258,285.8,68.9,27.0
1.77,RightHandAnchor,0.020,-0.202,0.261,291.4,302.9,328.0
1.77,Head,-0.001,-0.009,-0.011,7.8,1.9,359.2
1.83,LeftHandAnchor,-0.033,-0.193,0.261,279.4,54.6,37.7
1.83,RightHandAnchor,0.036,-0.200,0.262,287.5,317.9,314.3
1.83,Head,-0.001,-0.008,-0.011,7.5,1.9,359.2
1.88,LeftHandAnchor,-0.042,-0.192,0.266,278.2,13.9,80.4
1.88,RightHandAnchor,0.044,-0.203,0.264,280.7,5.4,269.7
1.88,Head,-0.001,-0.008,-0.011,7.4,1.7,359.2
1.94,LeftHandAnchor,-0.047,-0.194,0.268,280.6,344.4,109.7
1.94,RightHandAnchor,0.046,-0.202,0.259,282.7,30.9,242.7
1.94,Head,-0.001,-0.009,-0.010,7.8,1.7,359.0
1.99,LeftHandAnchor,-0.046,-0.194,0.268,282.5,347.1,109.4
1.99,RightHandAnchor,0.043,-0.201,0.257,281.1,23.7,251.0
1.99,Head,-0.001,-0.010,-0.011,8.2,1.9,358.8
2.05,LeftHandAnchor,-0.030,-0.195,0.257,283.1,37.6,57.6
2.05,RightHandAnchor,0.026,-0.204,0.257,286.3,305.1,329.1
2.05,Head,-0.001,-0.010,-0.011,8.3,2.0,358.9
2.11,LeftHandAnchor,-0.027,-0.199,0.254,282.9,55.0,39.6
2.11,RightHandAnchor,0.027,-0.202,0.259,286.8,307.4,325.1
2.11,Head,-0.001,-0.009,-0.010,7.8,2.0,359.2
2.16,LeftHandAnchor,-0.039,-0.193,0.261,283.1,32.0,64.4
2.16,RightHandAnchor,0.038,-0.200,0.262,280.8,7.1,270.8
2.16,Head,-0.001,-0.008,-0.010,7.6,1.8,359.2
2.22,LeftHandAnchor,-0.040,-0.192,0.262,283.9,346.4,108.8
2.22,RightHandAnchor,0.041,-0.203,0.260,281.3,35.0,242.9
2.22,Head,-0.001,-0.009,-0.010,7.7,1.8,359.1
2.27,LeftHandAnchor,-0.038,-0.193,0.262,288.9,337.8,121.9
2.27,RightHandAnchor,0.038,-0.204,0.256,280.5,39.3,238.2
2.27,Head,-0.001,-0.009,-0.010,7.8,1.9,359.1
2.33,LeftHandAnchor,-0.028,-0.192,0.259,285.0,25.4,73.4
2.33,RightHandAnchor,0.027,-0.207,0.254,290.4,304.5,329.0
2.33,Head,-0.001,-0.009,-0.010,7.9,2.0,359.1
2.38,LeftHandAnchor,-0.032,-0.192,0.259,285.0,31.8,66.8
2.38,RightHandAnchor,0.033,-0.203,0.257,285.7,315.6,318.4
2.38,Head,-0.002,-0.009,-0.010,7.7,1.9,359.2
2.44,LeftHandAnchor,-0.039,-0.192,0.260,285.4,15.5,88.3
2.44,RightHandAnchor,0.035,-0.202,0.258,279.2,7.4,269.3
2.44,Head,-0.002,-0.009,-0.010,7.6,1.8,359.2
2.49,LeftHandAnchor,-0.041,-0.192,0.261,293.8,357.6,108.1
2.49,RightHandAnchor,0.036,-0.206,0.257,277.9,37.8,243.3
2.49,Head,-0.002,-0.009,-0.010,7.7,1.7,359.2
2.55,LeftHandAnchor,-0.042,-0.192,0.261,294.3,357.2,109.1
2.55,RightHandAnchor,0.035,-0.206,0.254,277.6,37.7,246.3
2.55,Head,-0.002,-0.009,-0.010,7.7,1.8,359.1
2.61,LeftHandAnchor,-0.042,-0.192,0.262,291.8,6.4,96.6
2.61,RightHandAnchor,0.033,-0.207,0.255,277.2,12.2,273.9
2.61,Head,-0.002,-0.009,-0.011,7.6,1.9,359.2
2.66,LeftHandAnchor,-0.043,-0.191,0.262,291.8,6.6,96.3
2.66,RightHandAnchor,0.034,-0.207,0.256,276.6,7.3,276.9
2.66,Head,-0.002,-0.008,-0.010,7.5,1.9,359.2
2.72,LeftHandAnchor,-0.043,-0.192,0.261,290.7,3.4,96.0
2.72,RightHandAnchor,0.034,-0.206,0.256,277.2,15.9,267.4
2.72,Head,-0.002,-0.008,-0.010,7.5,1.9,359.2
2.77,LeftHandAnchor,-0.042,-0.192,0.260,288.9,2.9,93.2
2.77,RightHandAnchor,0.034,-0.207,0.257,279.4,17.8,266.1
2.77,Head,-0.002,-0.009,-0.010,7.6,1.9,359.1
2.83,LeftHandAnchor,-0.033,-0.200,0.258,285.5,43.2,51.9
2.83,RightHandAnchor,0.029,-0.206,0.256,282.1,345.5,295.6
2.83,Head,-0.002,-0.009,-0.010,7.7,2.0,359.2
2.88,LeftHandAnchor,-0.032,-0.201,0.264,284.3,54.6,41.4
2.88,RightHandAnchor,0.030,-0.205,0.256,286.3,325.0,310.2
2.88,Head,-0.002,-0.009,-0.010,7.6,1.9,359.2
2.94,LeftHandAnchor,-0.037,-0.199,0.269,280.8,52.5,45.8
2.94,RightHandAnchor,0.040,-0.202,0.257,285.0,335.4,299.9
2.94,Head,-0.002,-0.008,-0.010,7.6,1.9,359.3
3.00,LeftHandAnchor,-0.041,-0.199,0.266,281.0,2.3,91.1
3.00,RightHandAnchor,0.044,-0.203,0.257,281.6,28.5,246.6
3.00,Head,-0.002,-0.008,-0.010,7.5,1.8,359.2
3.05,LeftHandAnchor,-0.043,-0.200,0.264,282.4,343.1,108.3
3.05,RightHandAnchor,0.049,-0.199,0.255,282.6,34.8,240.2
3.05,Head,-0.001,-0.008,-0.010,7.6,1.9,359.2
3.11,LeftHandAnchor,-0.043,-0.200,0.264,282.3,334.9,115.6
3.11,RightHandAnchor,0.048,-0.196,0.256,285.0,38.4,236.2
3.11,Head,-0.001,-0.009,-0.010,7.7,2.1,359.2
3.16,LeftHandAnchor,-0.041,-0.201,0.262,281.7,336.2,114.0
3.16,RightHandAnchor,0.046,-0.196,0.256,284.9,36.9,236.7
3.16,Head,-0.001,-0.009,-0.010,7.7,2.1,359.2
3.22,LeftHandAnchor,-0.036,-0.201,0.261,281.3,340.7,109.7
3.22,RightHandAnchor,0.039,-0.197,0.256,283.8,30.0,242.8
3.22,Head,-0.001,-0.008,-0.011,7.5,2.0,359.2
3.27,LeftHandAnchor,-0.032,-0.201,0.261,282.7,38.1,54.6
3.27,RightHandAnchor,0.034,-0.202,0.258,281.3,349.9,282.4
3.27,Head,-0.001,-0.008,-0.011,7.4,1.9,359.2
3.33,LeftHandAnchor,-0.031,-0.199,0.262,285.6,67.9,28.3
3.33,RightHandAnchor,0.036,-0.201,0.258,287.8,317.7,315.8
3.33,Head,-0.001,-0.008,-0.011,7.5,2.0,359.1
3.38,LeftHandAnchor,-0.032,-0.198,0.262,282.0,55.8,37.0
3.38,RightHandAnchor,0.041,-0.200,0.258,285.4,329.5,305.7
3.38,Head,-0.001,-0.008,-0.011,7.5,2.1,359.1
3.44,LeftHandAnchor,-0.038,-0.199,0.263,279.5,350.8,101.7
3.44,RightHandAnchor,0.044,-0.199,0.258,284.0,23.3,249.6
3.44,Head,-0.001,-0.008,-0.010,7.4,2.2,359.2
3.49,LeftHandAnchor,-0.040,-0.201,0.263,281.5,331.5,117.2
3.49,RightHandAnchor,0.047,-0.198,0.258,287.6,35.0,238.9
3.49,Head,-0.001,-0.009,-0.010,7.6,2.2,359.2
3.55,LeftHandAnchor,-0.040,-0.201,0.263,282.1,330.6,117.2
3.55,RightHandAnchor,0.048,-0.196,0.257,289.8,37.1,235.8
3.55,Head,-0.001,-0.009,-0.010,7.8,2.2,359.2
3.61,LeftHandAnchor,-0.040,-0.200,0.263,282.5,333.9,114.4
3.61,RightHandAnchor,0.047,-0.196,0.257,288.2,35.2,238.6
3.61,Head,-0.001,-0.009,-0.010,7.8,2.3,359.2
3.66,LeftHandAnchor,-0.036,-0.199,0.262,287.3,349.9,106.3
3.66,RightHandAnchor,0.044,-0.202,0.259,281.7,13.8,260.4
3.66,Head,-0.001,-0.009,-0.010,7.7,2.3,359.2
3.72,LeftHandAnchor,-0.028,-0.197,0.260,287.9,15.0,87.0
3.72,RightHandAnchor,0.035,-0.203,0.259,283.0,336.6,298.8
3.72,Head,0.000,-0.009,-0.010,7.7,2.3,359.1
3.77,LeftHandAnchor,-0.026,-0.195,0.259,288.8,51.3,50.1
3.77,RightHandAnchor,0.030,-0.203,0.258,289.7,310.5,328.6
3.77,Head,-0.001,-0.009,-0.010,7.6,2.2,359.1
3.83,LeftHandAnchor,-0.032,-0.197,0.263,286.8,46.9,53.7
3.83,RightHandAnchor,0.040,-0.201,0.260,286.6,323.8,314.1
3.83,Head,-0.001,-0.009,-0.010,7.7,2.1,359.1
3.89,LeftHandAnchor,-0.035,-0.198,0.266,283.2,19.9,79.4
3.89,RightHandAnchor,0.041,-0.201,0.261,283.5,350.1,288.6
3.89,Head,-0.001,-0.009,-0.010,7.5,2.2,359.1
3.94,LeftHandAnchor,-0.035,-0.198,0.265,288.5,344.5,111.0
3.94,RightHandAnchor,0.042,-0.204,0.263,281.8,29.5,252.5
3.94,Head,-0.001,-0.009,-0.010,7.6,2.2,359.2
4.00,LeftHandAnchor,-0.034,-0.199,0.262,288.1,345.1,109.0
4.00,RightHandAnchor,0.042,-0.202,0.261,283.0,29.1,249.0
4.00,Head,-0.001,-0.009,-0.010,7.6,2.1,359.1
4.05,LeftHandAnchor,-0.033,-0.198,0.261,287.1,345.7,106.7
4.05,RightHandAnchor,0.040,-0.201,0.259,283.1,27.8,250.3
4.05,Head,-0.001,-0.009,-0.010,7.8,2.3,359.0
4.11,LeftHandAnchor,-0.031,-0.199,0.260,286.8,349.1,103.4
4.11,RightHandAnchor,0.033,-0.200,0.257,282.7,12.6,266.0
4.11,Head,0.000,-0.009,-0.010,7.7,2.4,359.1
4.16,LeftHandAnchor,-0.029,-0.200,0.259,283.6,36.7,58.1
4.16,RightHandAnchor,0.032,-0.201,0.257,291.1,316.0,320.5
4.16,Head,0.000,-0.009,-0.010,7.6,2.3,359.1
4.22,LeftHandAnchor,-0.035,-0.201,0.267,283.0,40.8,54.4
4.22,RightHandAnchor,0.043,-0.200,0.260,290.7,323.4,314.4
4.22,Head,-0.001,-0.009,-0.010,7.6,2.2,359.1
4.27,LeftHandAnchor,-0.038,-0.202,0.267,283.1,23.6,73.3
4.27,RightHandAnchor,0.046,-0.203,0.261,284.5,6.8,272.1
