t,object,x,y,z,pitch,yaw,roll
0.07,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.07,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.07,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.13,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.13,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.13,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.19,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.19,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.19,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.24,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.24,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.24,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.30,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.30,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.30,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.35,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.35,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.35,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.41,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.41,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.41,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.46,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.46,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.46,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.52,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.52,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.52,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.58,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.58,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.58,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.63,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.63,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.63,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.69,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.69,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.69,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.74,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.74,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.74,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.80,LeftHandAnchor,-0.110,-0.227,0.297,345.9,353.6,174.9
0.80,RightHandAnchor,0.136,-0.237,0.286,346.9,12.6,182.9
0.80,Head,-0.005,-0.043,-0.020,7.0,4.3,0.6
0.86,LeftHandAnchor,-0.110,-0.227,0.297,344.9,353.9,174.1
0.86,RightHandAnchor,0.135,-0.238,0.286,347.4,12.8,183.4
0.86,Head,-0.005,-0.043,-0.020,7.1,4.2,0.6
0.92,LeftHandAnchor,-0.110,-0.228,0.298,344.8,354.0,173.8
0.92,RightHandAnchor,0.135,-0.238,0.287,347.7,12.8,183.4
0.92,Head,-0.005,-0.043,-0.021,7.1,4.1,0.6
0.97,LeftHandAnchor,-0.109,-0.228,0.298,344.9,354.0,173.8
0.97,RightHandAnchor,0.134,-0.238,0.287,347.7,12.9,183.5
0.97,Head,-0.005,-0.043,-0.021,7.3,4.0,0.6
1.03,LeftHandAnchor,-0.109,-0.227,0.298,344.9,354.1,173.8
1.03,RightHandAnchor,0.134,-0.238,0.287,347.9,12.9,183.5
1.03,Head,-0.005,-0.043,-0.021,7.3,4.1,0.6
1.09,LeftHandAnchor,-0.109,-0.227,0.298,344.8,354.1,173.6
1.09,RightHandAnchor,0.135,-0.239,0.287,348.4,13.0,183.4
1.09,Head,-0.005,-0.043,-0.021,7.2,4.1,0.6
1.14,LeftHandAnchor,-0.109,-0.227,0.298,336.8,356.3,171.5
1.14,RightHandAnchor,0.135,-0.239,0.287,344.1,11.6,183.6
1.14,Head,-0.005,-0.043,-0.021,7.3,4.1,0.6
1.20,LeftHandAnchor,-0.109,-0.227,0.298,336.9,356.1,170.8
1.20,RightHandAnchor,0.134,-0.238,0.287,343.2,11.2,183.5
1.20,Head,-0.005,-0.043,-0.020,7.3,4.0,0.6
1.25,LeftHandAnchor,-0.109,-0.227,0.298,339.7,355.3,171.0
1.25,RightHandAnchor,0.134,-0.238,0.287,345.7,12.1,183.2
1.25,Head,-0.005,-0.043,-0.020,7.4,4.1,0.6
1.31,LeftHandAnchor,-0.109,-0.227,0.298,340.9,354.9,170.9
1.31,RightHandAnchor,0.134,-0.237,0.287,346.4,12.2,183.5
1.31,Head,-0.005,-0.043,-0.020,7.4,4.1,0.6
1.36,LeftHandAnchor,-0.108,-0.226,0.298,341.2,354.7,170.9
1.36,RightHandAnchor,0.134,-0.237,0.287,346.8,12.3,183.8
1.36,Head,-0.005,-0.043,-0.020,7.4,4.1,0.6
1.42,LeftHandAnchor,-0.108,-0.226,0.298,341.6,354.4,170.8
1.42,RightHandAnchor,0.134,-0.237,0.286,346.8,12.2,183.9
1.42,Head,-0.005,-0.043,-0.020,7.4,4.1,0.6
1.47,LeftHandAnchor,-0.108,-0.226,0.298,341.7,354.3,170.7
1.47,RightHandAnchor,0.134,-0.236,0.286,346.9,12.3,184.0
1.47,Head,-0.005,-0.043,-0.020,7.5,4.1,0.6
1.53,LeftHandAnchor,-0.109,-0.227,0.298,341.7,354.2,170.5
