t,object,x,y,z,pitch,yaw,roll
0.09,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.14,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.14,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.14,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.20,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.25,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.25,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.25,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.31,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.31,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.31,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.36,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.36,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.36,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.42,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.48,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.53,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.53,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.53,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.59,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.59,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.59,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.64,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.70,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.70,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.70,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.75,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.75,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.75,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.81,LeftHandAnchor,-0.036,-0.518,0.149,7.4,40.4,27.2
0.81,RightHandAnchor,0.117,-0.163,0.332,286.8,25.1,325.2
0.81,Head,0.008,-0.017,0.000,5.3,7.3,1.4
0.87,LeftHandAnchor,-0.036,-0.519,0.149,7.2,40.5,27.2
0.87,RightHandAnchor,0.119,-0.157,0.321,298.9,60.4,279.8
0.87,Head,0.008,-0.017,0.000,5.2,7.2,1.4
0.93,LeftHandAnchor,-0.036,-0.519,0.149,6.7,40.6,27.3
0.93,RightHandAnchor,0.109,-0.151,0.322,321.2,72.9,258.9
0.93,Head,0.008,-0.017,-0.001,5.0,7.1,1.1
0.98,LeftHandAnchor,-0.036,-0.519,0.149,6.7,40.6,27.4
0.98,RightHandAnchor,0.094,-0.153,0.326,317.9,74.2,267.9
0.98,Head,0.008,-0.017,-0.001,5.2,7.2,0.8
1.04,LeftHandAnchor,-0.037,-0.519,0.149,6.7,40.6,27.4
1.04,RightHandAnchor,0.081,-0.164,0.321,297.3,66.2,287.9
1.04,Head,0.008,-0.017,-0.002,5.3,7.3,0.9
1.10,LeftHandAnchor,-0.037,-0.519,0.149,355.0,43.5,29.5
1.10,RightHandAnchor,0.088,-0.180,0.323,281.5,274.1,77.5
1.10,Head,0.008,-0.018,-0.002,5.3,7.4,1.0
1.15,LeftHandAnchor,-0.037,-0.519,0.149,352.3,44.4,29.6
1.15,RightHandAnchor,0.079,-0.190,0.340,297.5,264.6,91.5
1.15,Head,0.008,-0.017,-0.002,5.1,7.3,1.2
1.21,LeftHandAnchor,-0.036,-0.519,0.149,352.8,44.4,29.2
1.21,RightHandAnchor,0.082,-0.191,0.345,302.0,267.8,91.3
1.21,Head,0.008,-0.017,-0.002,5.0,7.1,1.3
1.26,LeftHandAnchor,-0.036,-0.518,0.149,353.0,44.5,29.0
1.26,RightHandAnchor,0.097,-0.178,0.338,279.4,264.1,86.6
1.26,Head,0.008,-0.017,-0.002,4.9,7.1,1.4
1.32,LeftHandAnchor,-0.036,-0.518,0.149,353.0,44.5,29.1
1.32,RightHandAnchor,0.104,-0.170,0.325,281.8,47.9,297.9
1.32,Head,0.008,-0.017,-0.003,4.9,7.1,1.2
1.37,LeftHandAnchor,-0.036,-0.518,0.148,353.0,44.4,29.4
1.37,RightHandAnchor,0.106,-0.166,0.314,297.5,66.3,269.9
1.37,Head,0.009,-0.016,-0.003,4.8,7.2,1.1
1.43,LeftHandAnchor,-0.036,-0.517,0.148,352.5,44.3,29.7
1.43,RightHandAnchor,0.105,-0.165,0.323,313.4,79.6,260.5
1.43,Head,0.009,-0.016,-0.003,4.8,7.1,1.1
1.48,LeftHandAnchor,-0.036,-0.517,0.148,352.2,44.2,29.9
