t,object,x,y,z,pitch,yaw,roll
0.09,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.15,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.20,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.26,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.26,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.26,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.32,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.32,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.32,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.37,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.43,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.43,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.43,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.48,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.54,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.54,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.54,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.59,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.59,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.59,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.65,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.65,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.65,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.70,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.70,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.70,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.76,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.76,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.76,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.82,LeftHandAnchor,-0.008,-0.559,0.157,14.3,55.0,34.8
0.82,RightHandAnchor,0.176,-0.028,0.328,278.3,263.8,99.7
0.82,Head,0.022,-0.058,-0.018,356.2,16.8,359.6
0.87,LeftHandAnchor,-0.008,-0.558,0.157,14.3,55.0,34.8
0.87,RightHandAnchor,0.176,-0.028,0.327,278.4,262.5,101.1
0.87,Head,0.022,-0.058,-0.019,356.1,16.9,359.6
0.93,LeftHandAnchor,-0.008,-0.558,0.157,14.3,55.0,34.9
0.93,RightHandAnchor,0.176,-0.027,0.327,278.4,262.6,101.0
0.93,Head,0.022,-0.058,-0.019,356.0,16.8,359.7
0.99,LeftHandAnchor,-0.008,-0.558,0.157,14.3,55.0,34.9
0.99,RightHandAnchor,0.176,-0.026,0.327,278.5,262.2,101.4
0.99,Head,0.022,-0.058,-0.019,355.9,16.8,359.6
1.05,LeftHandAnchor,-0.008,-0.558,0.157,14.3,55.0,35.0
1.05,RightHandAnchor,0.176,-0.026,0.326,278.4,262.5,101.0
1.05,Head,0.022,-0.058,-0.019,355.7,16.8,359.7
1.10,LeftHandAnchor,-0.008,-0.558,0.158,5.7,58.2,37.6
1.10,RightHandAnchor,0.176,-0.024,0.325,286.2,231.0,127.6
1.10,Head,0.022,-0.057,-0.020,355.6,16.8,359.7
1.16,LeftHandAnchor,-0.008,-0.558,0.157,6.5,58.1,37.4
1.16,RightHandAnchor,0.176,-0.019,0.320,281.9,256.2,102.5
1.16,Head,0.021,-0.057,-0.020,355.4,16.8,359.7
1.21,LeftHandAnchor,-0.008,-0.558,0.158,7.6,58.0,37.5
1.21,RightHandAnchor,0.177,-0.015,0.318,284.1,313.5,47.8
1.21,Head,0.021,-0.057,-0.020,355.3,16.7,359.7
1.27,LeftHandAnchor,-0.008,-0.558,0.158,7.9,58.1,37.4
1.27,RightHandAnchor,0.180,-0.005,0.304,296.5,333.8,28.7
1.27,Head,0.021,-0.057,-0.021,355.3,16.7,359.7
1.32,LeftHandAnchor,-0.008,-0.557,0.158,8.4,58.0,37.4
1.32,RightHandAnchor,0.179,0.009,0.295,309.0,350.8,13.4
1.32,Head,0.021,-0.057,-0.021,355.4,16.8,359.8
1.38,LeftHandAnchor,-0.008,-0.557,0.158,8.7,58.0,37.2
1.38,RightHandAnchor,0.178,0.024,0.291,328.2,1.6,10.2
1.38,Head,0.021,-0.058,-0.021,355.6,16.9,359.8
1.44,LeftHandAnchor,-0.008,-0.557,0.158,8.9,58.0,37.2
1.44,RightHandAnchor,0.181,0.027,0.294,345.4,4.4,9.3
1.44,Head,0.021,-0.058,-0.021,355.7,17.1,359.9
1.49,LeftHandAnchor,-0.008,-0.557,0.158,9.1,57.9,37.2
