t,object,x,y,z,pitch,yaw,roll
0.09,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.14,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.14,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.14,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.19,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.19,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.19,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.25,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.25,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.25,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.30,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.30,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.30,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.36,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.36,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.36,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.42,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.47,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.47,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.47,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.53,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.53,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.53,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.58,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.58,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.58,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.64,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.69,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.69,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.69,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.75,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.75,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.75,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.81,LeftHandAnchor,-0.085,-0.490,0.152,6.2,24.6,40.7
0.81,RightHandAnchor,0.063,-0.183,0.328,307.0,4.1,343.9
0.81,Head,-0.006,0.001,0.001,358.5,2.8,1.3
0.86,LeftHandAnchor,-0.085,-0.491,0.152,6.2,24.6,40.8
0.86,RightHandAnchor,0.062,-0.168,0.314,317.7,5.0,354.4
0.86,Head,-0.006,0.000,0.001,358.6,2.8,1.4
0.92,LeftHandAnchor,-0.085,-0.491,0.152,6.2,24.7,40.9
0.92,RightHandAnchor,0.061,-0.161,0.315,327.6,7.8,1.3
0.92,Head,-0.006,0.000,0.000,358.7,2.7,1.4
0.98,LeftHandAnchor,-0.085,-0.491,0.152,6.1,24.7,40.8
0.98,RightHandAnchor,0.062,-0.138,0.312,340.7,10.4,2.9
0.98,Head,-0.006,0.000,0.000,358.6,2.7,1.4
1.03,LeftHandAnchor,-0.085,-0.491,0.152,5.9,24.7,40.9
1.03,RightHandAnchor,0.059,-0.121,0.312,352.4,11.1,15.1
1.03,Head,-0.006,0.000,0.000,358.5,2.8,1.4
1.09,LeftHandAnchor,-0.085,-0.491,0.152,5.8,24.8,40.9
1.09,RightHandAnchor,0.068,-0.123,0.329,357.5,10.6,17.7
1.09,Head,-0.006,0.000,0.000,358.5,2.8,1.4
1.15,LeftHandAnchor,-0.085,-0.491,0.152,348.9,30.3,43.7
1.15,RightHandAnchor,0.073,-0.115,0.339,5.9,10.6,25.3
1.15,Head,-0.007,0.000,0.000,358.5,2.7,1.5
1.20,LeftHandAnchor,-0.085,-0.492,0.152,351.9,29.6,43.6
1.20,RightHandAnchor,0.082,-0.106,0.329,18.0,4.2,18.1
1.20,Head,-0.006,0.000,0.000,358.5,2.7,1.5
1.26,LeftHandAnchor,-0.085,-0.492,0.152,352.5,29.3,44.1
1.26,RightHandAnchor,0.098,-0.100,0.313,21.8,350.9,0.5
1.26,Head,-0.006,0.000,-0.001,358.4,2.8,1.5
1.31,LeftHandAnchor,-0.085,-0.492,0.152,352.6,29.2,44.1
1.31,RightHandAnchor,0.116,-0.096,0.322,25.8,337.7,347.5
1.31,Head,-0.006,0.001,-0.001,358.4,2.9,1.5
1.37,LeftHandAnchor,-0.085,-0.492,0.152,352.6,29.1,44.1
1.37,RightHandAnchor,0.149,-0.117,0.352,18.5,313.2,332.4
1.37,Head,-0.006,0.001,-0.001,358.1,2.9,1.5
1.42,LeftHandAnchor,-0.085,-0.493,0.152,352.6,29.1,44.1
1.42,RightHandAnchor,0.160,-0.145,0.368,5.7,302.6,316.5
1.42,Head,-0.006,0.001,-0.001,357.9,2.8,1.5
1.48,LeftHandAnchor,-0.085,-0.494,0.152,352.6,29.0,44.2
1.48,RightHandAnchor,0.162,-0.165,0.379,351.5,295.6,307.2
